,train,val,test
0,F23-00306A01,F23-04615A01,F24-01849A01+A02
1,F23-00338A01+H01,F23-03697H01+H02,F23-03267A01+H01
2,F23-00443A01,F23-02953,F24-00336A01+A02
3,F23-00806A01,F23-05495H03+H04,23-12172A03+A04
4,F23-01286A01+H01,F21-06724A01,F23-04650A01
5,F23-01398A01+H01,F23-01076A01+H01,22-36133A01+A02
6,F23-01430A01+A02,,
7,F23-01910A01+H01,,
8,F23-02083H02,,
9,F23-02367A01+H01,,
10,F23-02726A01,,
11,F23-02999A01,,
12,F23-03278A01+H01,,
13,F23-03684A01+H01,,
14,F23-04874A01,,
15,F23-05311A01+A02,,
16,F23-06036A01+H01,,
17,F24-00037A01,,
18,F24-00265A01,,
19,F24-00416A01,,
20,F24-00820A01,,
21,F24-01361A01,,
22,F24-01528A01,,
23,F24-01554A01+H01,,
24,23-48187A01+A02,,
25,23-65568A07+A08,,
26,F21-01306,,
27,F22-00471A01[重切1],,
28,F22-03264A01+A02,,
29,F22-05268A01,,
30,F22-05278H02,,
31,F22-05516A01+A02,,
32,F22-05933A01+H01,,
33,F22-06001A01+H01,,
34,F23-00599A01+H01,,
35,F23-00857A01+H01,,
36,F23-02094,,
37,F23-02462A01,,
38,F23-04383A01+A02,,
39,F24-02421A01,,
40,F24-02761A01,,
41,F24-02917A01,,
42,F24-03287A01,,
43,F24-03483A01+A02,,
44,F24-05247A01+A02,,
45,F24-05984A01+H01,,
46,F24-06703H01+H02,,
47,F24-07192A01,,
